loan_amnt,term_mths,int_rate,installment,grade,empl_yrs,annual_inc,verification_status,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,loan_status
12000,36,13.68,408.27,1,10,45000,0,23.84,11,0,15756,59.5,29,1,0,0
12000,36,5.93,364.69,1,6,135000,0,7.64,10,0,7765,23,14,3,0,0
4000,36,10.99,130.94,1,0.5,38001,0,22.93,7,0,2659,18,19,0,0,0
7000,36,6.03,213.05,1,3,47000,0,15.6,10,0,3329,17.3,18,0,0,0
9000,36,6.92,277.57,1,2,83000,0,16.12,9,0,14719,62.9,19,1,0,0
7200,36,6.03,219.14,1,10,68888,0,10.96,7,0,6121,14.2,17,0,0,0
19650,36,22.4,754.52,0,2,56100,0,16.39,10,0,24880,70.5,41,0,0,0
9925,36,13.11,334.94,1,3,64000,0,9.99,8,0,3282,44.4,25,0,0,0
6000,36,8.9,190.52,1,2,24000,0,13.85,6,0,5455,56.2,10,0,0,0
4800,36,12.12,159.71,1,3,40000,0,28.86,12,0,2663,28.3,14,0,0,0
6900,36,25.29,275.41,0,0.5,48000,0,24.15,7,1,5629,92,25,0,1,0
18800,60,15.61,453.3,0,2,44909,0,28.37,7,0,15451,67.8,28,0,0,0
20000,36,6.62,614.08,1,4,145000,0,23.35,18,0,11511,33.5,50,2,0,0
15000,60,8.18,305.44,1,8,89000,0,10.67,12,0,8382,30.3,24,5,0,0
1000,36,7.62,31.17,1,2,112000,0,5.59,6,0,350,1.9,27,7,0,0
2500,36,13.98,85.42,1,0.5,54000,0,6.56,4,0,357,13.7,5,0,0,0
11700,36,10.99,382.99,1,1,45000,0,26.93,16,0,18527,88.2,40,0,0,0
7500,36,10.99,245.51,1,10,50000,0,10.11,11,0,764,1.6,18,1,0,0
14675,36,12.12,488.27,1,7,94000,0,13.38,12,0,14893,77.2,26,5,0,0
12000,60,15.31,287.44,1,10,110000,0,19.71,20,0,43467,78.8,45,4,0,0
10000,36,10.16,323.43,1,4,85000,0,20.72,15,0,14530,58.4,29,1,0,0
16000,36,7.49,497.63,1,0.5,78000,0,5.08,5,0,18441,51.4,9,0,0,0
11500,60,15.31,275.46,1,5,65000,0,26.75,21,1,11248,30.1,39,2,1,0
6000,36,12.12,199.63,1,3,80000,0,22.65,9,0,32254,61.9,35,1,0,0
10000,36,5.32,301.15,1,10,101000,0,27.19,13,0,13019,27.8,34,3,0,0
18000,60,19.99,476.79,0,4,41787,0,33.92,10,0,18551,72.5,19,0,0,0
7500,36,10.99,245.51,1,2,39000,0,19.45,10,1,1304,7.9,16,0,1,0
19125,36,12.12,636.33,1,10,94992,0,0.68,6,0,3051,12,8,3,0,0
4500,36,18.49,163.8,0,3,20000,0,23.76,6,0,3502,92.2,8,0,0,0
7000,36,11.99,232.47,1,5,40000,0,15.96,7,0,6554,88.6,18,1,0,0
15000,60,14.49,352.85,1,10,54000,0,18.21,17,0,22214,55.8,31,3,0,0
3000,36,19.2,110.28,0,8,72000,0,17.27,7,0,6488,85.4,17,0,0,0
1500,36,14.09,51.34,1,10,60000,0,23.96,11,1,11115,89.6,33,3,1,0
6625,36,11.55,218.63,1,6,23000,0,17.9,10,0,9337,62.7,27,0,0,0
10000,36,12.12,332.72,1,5,55000,0,18.16,15,0,8340,37.7,17,0,0,0
6000,36,10.16,194.06,1,4,80000,0,9.14,12,0,13665,64.5,19,1,0,0
15000,36,7.62,467.43,1,9,95000,0,6.91,13,0,13301,39.1,28,5,0,0
7025,36,7.9,219.82,1,10,35000,0,18.21,10,0,15760,45,21,3,0,0
13000,36,16.2,458.33,1,10,75000,0,12.11,12,0,11949,33.9,35,7,0,0
5500,36,12.12,183,1,6,54000,0,3.18,5,0,5119,48.3,9,0,0,0
15000,36,12.99,505.34,1,5,96000,0,18.87,20,0,16732,70.9,29,1,0,0
12000,36,9.25,383,1,3,60000,0,18,10,0,10882,48.2,29,0,0,0
2000,36,11.67,66.12,1,2,54000,0,13.81,12,0,2957,9.7,22,4,0,0
10000,36,8.18,314.2,1,1,35000,0,12.4,13,1,3915,23.2,22,1,0,0
12000,36,12.12,399.26,1,1,46000,0,21.86,11,0,11959,70.8,49,4,0,0
10000,36,17.77,360.38,0,10,87500,0,14.44,10,0,15462,78.1,30,8,0,0
12000,36,10.16,388.11,1,1,55000,0,6.94,9,0,7944,40.5,14,0,0,0
19500,36,10.99,638.32,1,10,88000,0,16.42,11,0,22619,75.1,24,3,0,0
10000,36,8.18,314.2,1,5,110503,0,5.4,12,0,89,0.3,17,0,0,0
10000,60,18.55,256.94,0,5,60000,0,21,13,1,4699,81,21,1,1,0
3200,36,13.98,109.34,1,1,32000,0,27.16,13,2,1448,15.6,17,0,0,0
5000,36,13.33,169.27,1,6,65000,0,4.49,4,0,3135,55.5,13,1,0,0
6000,36,11.47,197.78,1,10,41748,0,24.06,11,0,6918,29.8,15,0,0,0
8000,36,8.39,252.14,1,3,43000,0,10.35,13,0,7208,59.1,25,0,0,0
6000,36,14.65,206.97,1,10,50000,0,28.22,9,0,4667,38.7,22,0,0,0
2650,36,11.14,86.94,1,4,43000,0,13.67,7,0,5196,70.2,8,0,0,0
10625,36,8.9,337.38,1,4,60000,0,10.66,7,0,6803,73.9,22,4,0,0
16000,36,10.99,523.75,1,5,65000,0,24.52,18,0,10871,46.9,44,1,0,0
20000,60,12.29,447.83,1,8,110000,0,15.74,10,0,8072,63.6,21,2,0,0
3800,36,10.15,122.89,1,10,33000,0,23.89,7,0,10234,71.1,36,4,0,0
5000,36,11.44,164.74,1,10,98500,0,21.81,19,1,16353,56.6,32,5,1,0
5475,36,15.61,191.44,0,10,41612,0,8.62,6,2,5089,55,18,5,1,0
6625,36,15.8,232.27,1,8,35000,0,25.51,16,0,9135,51.9,18,0,0,0
15000,36,7.69,467.91,1,10,90000,0,8.37,8,0,8222,62.3,14,2,0,0
16000,36,16.78,568.7,1,3,37000,0,19.01,9,0,9359,23.8,10,0,0,0
16000,36,10.64,521.1,1,6,70000,0,20.83,17,1,6286,54.2,30,0,1,0
9225,36,15.61,322.56,1,2,55000,0,21.91,10,1,5373,88,18,0,1,0
15000,36,10.64,488.53,1,7,53000,0,18.38,8,0,13775,39.7,21,0,0,0
3000,36,16.99,106.95,0,3,45000,0,13.76,11,0,13023,36.8,26,0,0,0
1200,36,16.49,42.48,0,10,56000,0,17.98,7,0,17739,69.8,15,4,0,0
7200,36,14.49,247.8,1,10,50000,0,13.75,12,0,6213,39,36,3,0,0
12000,36,14.09,410.66,1,4,82000,0,21.5,12,0,16380,58.1,24,0,0,0
13000,36,16.29,458.91,0,10,80000,0,27.14,12,0,40880,61,33,3,0,0
5000,36,11.99,166.05,1,3,50000,0,20.67,12,0,7659,28.9,23,0,0,0
8875,36,17.1,316.86,1,9,26000,0,21.56,7,0,14099,83.4,9,0,0,0
7800,36,12.99,262.78,1,0.5,52000,0,24.58,10,0,4090,15.4,29,0,0,0
5000,36,17.27,178.94,1,8,55000,0,11.35,13,0,12751,55.4,29,1,0,0
16000,36,9.75,514.4,1,3,110000,0,15.64,20,0,10482,39.3,47,6,0,0
28000,36,13.33,947.89,1,4,85000,0,17.8,10,0,19038,74.4,24,2,0,0
15000,36,6.03,456.54,1,7,105000,0,12.17,12,0,14151,25.2,40,1,0,0
4000,36,15.31,139.27,1,10,36200,0,13.06,15,0,9280,40.2,25,0,0,0
7500,36,11.99,249.08,1,10,58000,0,20.61,8,0,2413,35.5,19,0,0,0
16000,36,12.39,534.42,1,8,56000,0,20.7,11,0,14871,69.5,32,9,0,0
14400,36,12.35,480.7,1,5,36000,0,16.36,10,0,5742,51.7,22,0,0,0
4800,36,12.12,159.71,1,2,35000,0,5.01,9,0,4555,27.1,10,0,0,0
8500,36,6.62,260.99,1,9,46000,0,11.73,6,0,6456,15.3,13,0,0,0
7725,36,11.53,254.85,1,9,72720,0,32.87,14,0,73829,53.8,23,3,0,0
2100,36,12.69,70.45,1,2,42000,0,31.71,11,0,5521,27.3,32,0,0,0
9000,36,10.15,291.04,1,6,63000,0,13.16,8,0,5162,48.2,16,1,0,0
10375,36,15.31,361.23,1,5,31500,0,15.58,9,0,9998,93.4,28,5,0,0
20000,36,9.99,645.25,1,10,140000,0,16.95,11,0,12205,37,28,2,0,0
3600,36,13.98,123.01,1,10,119000,0,21.66,14,0,12207,76.8,31,5,0,0
14500,36,7.9,453.71,1,8,45000,0,19.86,21,0,24979,29.6,32,0,0,0
6500,36,7.62,202.55,1,10,57000,0,9.22,8,0,5826,19.5,13,0,0,0
10000,60,14.85,237.12,1,4,85000,0,10.14,29,1,3985,9,53,0,0,0
7000,36,11.55,231,1,10,75000,0,8.29,15,0,20605,40.6,28,2,0,0
9925,36,11.14,325.6,1,6,46200,0,12.73,10,0,2571,24,19,2,0,0
6000,36,14.49,206.5,1,10,41000,0,24,10,1,6164,72.5,30,1,1,0
12000,36,8.9,381.04,1,1,70000,0,5.71,7,0,15092,33.6,20,0,0,0
6725,36,15.22,233.85,1,1,28000,0,8.74,6,0,7292,83.8,7,0,0,0
10000,36,9.17,318.79,1,1,50000,0,12.66,10,0,4533,61.3,29,0,0,0
15000,36,6.03,456.54,1,3,106000,0,3.91,6,0,4498,10.2,13,3,0,0
20000,60,13.44,459.58,1,10,95000,0,17.07,14,2,13007,53.7,43,7,2,0
3500,36,7.89,109.5,1,10,84000,0,24.51,13,0,10908,60.6,32,2,0,0
10000,36,10.99,327.34,1,9,36000,0,14.57,12,0,13917,45.6,19,0,0,0
12000,36,6.62,368.45,1,0.5,53000,0,18.2,9,0,8521,30.7,14,1,0,0
8400,36,18.49,305.75,0,7,40000,0,10.29,14,0,6521,44.7,20,1,0,0
15000,36,7.62,467.43,1,0.5,75000,0,15.07,9,0,4340,16.7,19,0,0,0
10000,36,8.39,315.17,1,8,46000,0,19.41,9,0,9572,77,18,1,0,0
5800,36,18.25,210.42,0,1,22000,0,19.97,8,0,16459,65.8,34,2,0,0
18000,36,10.16,582.17,1,6,87000,0,17.24,9,0,39545,80.7,18,2,0,0
8000,36,10.99,261.88,1,0.5,42000,0,23.54,13,0,3533,34,27,1,0,0
10000,36,6.03,304.36,1,2,51000,0,7.08,9,0,15782,31.9,26,0,0,0
20000,36,8.9,635.07,1,0.5,87000,0,7.56,9,0,25818,74.2,24,0,0,0
12000,36,18.49,436.79,0,4,74000,0,5.37,8,0,9314,77.6,22,0,0,0
12000,36,9.17,382.55,1,10,71000,0,27.64,11,0,22458,92,21,2,0,0
16000,36,8.9,508.06,1,4,97000,0,15.28,12,0,6922,41.7,27,5,0,0
6000,36,18.49,218.4,0,1,46000,0,23.53,18,0,11103,59.1,24,0,0,0
10000,36,7.12,309.32,1,4,45317,0,12.08,17,0,9727,51.7,37,1,0,0
5000,36,5.32,150.58,1,5,150000,0,9.29,15,0,11739,15.1,32,2,0,0
12000,60,14.49,282.28,1,2,55000,0,21.73,14,0,13184,54.7,47,8,0,0
4225,36,15.31,147.11,1,8,38028,0,7.73,17,1,5540,20.5,41,2,0,0
4975,36,16.99,177.35,0,5,50000,0,12.84,8,1,5463,58,13,3,1,0
18000,36,6.92,555.13,1,10,69000,0,4.52,3,0,11533,72.1,16,2,0,0
15000,36,7.62,467.43,1,10,120000,0,18.51,10,0,16344,33.8,35,5,0,0
12000,36,12.99,404.27,1,10,74200,0,25.59,15,0,30200,66.7,28,0,0,0
4300,36,5.32,129.5,1,4,86000,0,12.35,13,0,17500,17.5,28,6,0,0
5000,36,14.49,172.09,1,3,57000,0,19.33,12,1,6781,58,23,0,1,0
3000,36,8.9,95.26,1,6,90000,0,11.62,11,0,3276,19.4,14,0,0,0
3800,36,6.62,116.68,1,2,27000,0,17.29,6,0,642,21.4,29,1,0,0
14000,36,15.8,490.82,1,5,88000,0,9.17,5,0,23942,94.3,9,0,0,0
18000,36,14.47,619.32,1,4,40000,0,23.46,9,0,5523,52.1,11,0,0,0
11200,36,12.29,373.56,1,9,56000,0,20.94,7,0,10386,49.2,28,0,0,0
4000,36,14.49,137.67,1,5,44000,0,29.32,9,0,4687,47.8,23,0,0,0
18000,60,17.57,452.89,0,6,60000,0,24.58,27,0,3678,32.8,55,2,0,0
18000,36,12.35,600.88,1,10,58000,0,20.07,10,1,10326,70.7,17,2,1,0
1200,36,7.9,37.55,1,8,55000,0,14.95,12,0,1642,7.2,15,0,0,0
3600,36,14.33,123.62,1,2,29000,0,16.63,12,0,1884,11.8,19,0,0,0
6000,36,7.49,186.61,1,8,42000,0,14.1,5,0,6709,16.2,15,2,0,0
6000,36,12.99,202.14,1,10,47000,0,14.25,11,1,4331,88.4,26,3,0,0
12500,60,15.61,301.4,0,4,66000,0,25.6,12,0,26167,81.8,25,3,0,0
16000,60,12.49,359.89,1,2,42000,0,2.3,7,0,3436,6.5,14,4,0,0
9600,36,6.62,294.76,1,0.5,170000,0,16.04,14,0,22276,65.9,40,1,0,0
15000,36,7.9,469.36,1,2,70000,0,8.98,13,0,11741,54.9,15,0,0,0
15000,36,6.97,462.96,1,9,70000,0,13.85,16,0,34131,26.2,25,0,0,0
3500,36,10.16,113.2,1,3,37000,0,18.1,5,0,22886,56.1,15,1,0,0
4000,36,10.15,129.36,1,5,60000,0,12.9,13,0,2870,21.7,25,0,0,0
15000,36,8.9,476.3,1,10,115000,0,12.45,11,0,10426,43.6,30,3,0,0
10000,36,7.62,311.62,1,2,49000,0,12.78,7,0,7551,55.5,17,0,0,0
3500,36,6.39,107.1,1,4,59000,0,11.53,8,0,3101,12.7,22,2,0,0
6000,36,7.9,187.75,1,7,80000,0,5.81,7,0,16268,83.4,14,3,0,0
11200,60,12.29,250.79,1,10,51000,0,37.25,13,0,13816,60.3,19,3,0,0
7000,36,12.59,234.48,1,10,27000,0,38.65,15,0,12052,42.3,31,1,0,0
14000,60,13.44,321.71,1,10,55450,0,17.58,9,1,11188,55.9,12,0,1,0
3600,36,6.62,110.54,1,5,118594.08,0,11.01,14,0,17336,38.3,29,1,0,0
6000,36,7.9,187.75,1,1,28000,0,24.73,13,0,14471,46.5,16,0,0,0
4000,36,12.39,133.61,1,10,65000,0,9.58,5,0,6641,82,26,8,0,0
15000,60,13.99,348.95,1,8,88529.22,0,30.99,12,0,18113,68.6,23,3,0,0
3000,36,15.31,104.46,1,1,20000,0,29.1,7,0,12947,79.4,16,0,0,0
11000,36,8.18,345.62,1,2,77000,0,27.49,13,0,6899,27.7,27,3,0,0
10625,36,16.99,378.76,0,4,65000,0,10.75,12,1,1468,59,23,0,1,0
7000,36,10.99,229.14,1,10,50000,0,27.22,16,0,7341,27.3,31,2,0,0
5000,36,7.89,156.43,1,5,42000,0,34.74,24,0,7095,18.8,41,0,0,0
6000,36,7.89,187.72,1,10,75000,0,33.46,12,0,23676,49.5,70,12,0,0
10000,36,16.29,353.01,1,10,78000,0,9,7,0,8867,55.4,35,9,0,0
7000,36,18.55,255.01,0,2,30000,0,5.04,8,0,3819,49,10,0,0,0
3575,36,25.8,143.66,0,10,42500,0,22,11,1,6493,61.8,39,2,1,0
20000,36,7.62,623.23,1,8,165000,0,9.56,6,0,30226,57.7,14,2,0,0
9000,36,15.31,313.36,1,7,48000,0,14.63,8,0,3484,83,25,4,0,0
6000,36,6.03,182.62,1,9,129000,0,27.23,16,0,311560,74.2,44,4,0,0
13000,36,16.29,458.91,1,10,36000,0,9.17,7,0,8478,75.7,14,0,0,0
11000,36,8.9,349.29,1,10,52000,0,22.04,8,0,8210,55.5,15,0,0,0
8000,36,5.32,240.92,1,7,48000,0,31.83,19,0,3702,5,41,0,0,0
12000,36,9.49,384.34,1,0.5,60000,0,25.4,7,0,8163,74.2,21,3,0,0
5950,36,15.61,208.05,0,3,75000,0,6.83,10,1,2301,47,33,5,1,0
12000,60,15.31,287.44,1,1,85000,0,17.69,12,0,10820,45.5,23,4,0,0
15000,36,10.99,491.01,1,1,75000,0,20.27,11,0,6591,60.5,31,11,0,0
20000,60,12.88,453.84,1,4,90000,0,14.99,11,0,29089,66.6,32,5,0,0
10000,36,11.99,332.1,1,10,35000,0,32.2,7,0,3953,39.1,21,1,0,0
21000,36,9.17,669.46,1,3,70000,0,24.58,18,0,28109,33.1,31,2,0,0
12150,36,16.55,430.47,0,1,32000,0,21.57,8,0,3296,32.3,32,0,0,0
16900,60,17.57,425.21,0,1,100000,0,17.83,12,1,5026,22.4,29,2,0,0
6000,36,7.69,187.17,1,10,40000,0,23.46,9,0,11196,51.1,21,6,0,0
9500,36,11.99,315.5,1,10,76000,0,12.32,14,1,2967,43.6,37,4,1,0
14000,36,6.03,426.1,1,6,150000,0,6.52,13,0,5263,13.4,36,8,0,0
4000,36,8.9,127.02,1,10,75000,0,5.12,10,0,836,13.7,46,7,0,0
3000,36,13.33,101.56,1,0.5,35000,0,11.52,9,0,11471,63.7,14,0,0,0
16000,36,6.39,489.59,1,4,480000,0,8.46,16,0,14029,33.2,51,1,0,0
7500,36,6.03,228.27,1,3,100390,0,13.02,7,0,7982,26.6,27,5,0,0
11500,36,10.99,376.45,1,7,90000,0,4.04,7,0,15979,30.6,16,0,0,0
15000,36,5.32,451.73,1,0.5,87000,0,23.76,8,0,20389,57.9,17,0,0,0
10000,36,5.32,301.15,1,0.5,95000,0,29.59,31,0,32586,61.5,48,3,0,0
11925,36,13.98,407.46,1,8,80000,0,13.19,8,0,16680,82.6,28,4,0,0
12800,36,12.29,426.92,1,9,75000,0,4.34,12,0,7655,39.9,22,0,0,0
8000,36,8.19,251.4,1,5,52000,0,17.03,13,0,11069,61.8,37,3,0,0
17000,36,8.9,539.81,1,3,61500,0,12.9,9,0,8378,83.8,18,0,0,0
14200,36,7.12,439.24,1,3,64000,0,26.7,17,0,12917,60.6,22,0,0,0
12000,36,17.27,429.45,1,6,40000,0,14.55,12,0,9384,46.7,21,0,0,0
12875,36,10.74,419.93,1,0.5,33600,0,26.46,6,0,12329,31.6,13,0,0,0
10000,36,13.49,339.31,1,5,37584,0,23.15,13,0,13355,47.7,32,0,0,0
15550,36,7.9,486.57,1,5,65000,0,7.24,14,0,6502,58.1,22,2,0,0
4800,36,14.16,164.43,1,1,37500,0,5.73,4,0,3399,80.9,12,1,0,0
15000,36,12.49,501.74,1,10,50000,0,29.62,9,0,5579,66.4,17,0,0,0
15000,36,12.49,501.74,1,10,190000,0,11.13,19,0,22775,55,33,3,0,0
6000,36,15.31,208.91,1,4,39875,0,6.17,4,0,3890,77.8,10,0,0,0
3300,36,12.99,111.18,1,5,80000,0,23.99,13,0,12012,54.4,54,2,0,0
3000,36,18.25,108.84,0,7,36500,0,17.62,5,0,12378,84.8,14,0,0,0
25000,36,8.9,793.84,1,10,140000,0,14.67,15,0,11393,21.7,34,4,0,0
15000,60,14.31,351.44,1,0.5,65000,0,21.84,8,0,2852,36.6,13,2,0,0
10000,36,16.2,352.56,1,4,105000,0,12.53,9,0,11285,56.1,11,0,0,0
8325,36,17.76,299.97,0,1,25000,0,18.05,7,0,7842,71.3,7,0,0,0
9425,36,11.55,311.03,1,9,67000,0,16.73,11,0,16218,71.8,17,3,0,0
3175,36,8.99,100.95,1,5,35000,0,22.7,12,0,3685,19,14,0,0,0
13025,36,9.17,415.23,1,6,50000,0,19.97,5,0,13047,64.9,23,0,0,0
15000,36,7.89,469.29,1,9,170000,0,8.01,12,0,21309,57,30,6,0,0
2000,36,14.09,68.45,1,10,55000,0,16.08,9,0,11807,56,20,0,0,0
5000,36,20.2,186.33,0,1,40000,0,4.83,4,0,6758,33.5,19,0,0,0
9925,36,11.14,325.6,1,9,29586,0,12.7,9,0,18839,61.2,18,0,0,0
15000,60,17.86,379.76,0,10,60000,0,11.96,9,0,10147,22.8,22,2,0,0
12000,60,8.18,244.36,1,10,55000,0,20.27,9,0,11334,27,18,1,0,0
9100,36,18.49,331.23,0,6,58000,0,19.74,10,0,5311,84.3,19,2,0,0
12000,60,13.67,277.18,1,4,61800,0,16.37,9,0,6767,47.7,28,2,0,0
10000,36,12.49,334.49,1,4,35000,0,0.34,5,0,272,2.5,12,1,0,0
6000,36,16.29,211.81,1,7,115000,0,11.76,8,0,23041,67.6,30,3,0,0
2500,36,13.99,85.44,1,10,42000,0,34.17,21,0,23107,30.1,36,5,0,0
10000,36,14.65,344.95,1,7,36000,0,24.7,13,0,11096,33.4,15,0,0,0
6400,36,13.65,217.66,1,10,81000,0,3.59,8,0,7217,53.5,22,4,0,0
7000,36,8.39,220.62,1,2,88000,0,20.63,15,0,5071,23.2,32,0,0,0
15000,36,13.11,506.21,1,3,90000,0,16.84,9,0,10048,31.9,11,1,0,0
3000,36,15.61,104.9,0,7,19400,0,26.55,9,0,7675,48.6,24,0,0,0
3000,36,21.18,113.31,0,10,39000,0,22.03,14,0,7006,45.5,31,0,0,0
12000,36,6.24,366.37,1,10,45000,0,18.91,9,0,0,0,18,2,0,0
9600,36,14.99,332.75,1,8,75000,0,38.43,17,0,12709,48.5,26,0,0,0
9000,36,10.49,292.48,1,0.5,58000,0,11.84,10,0,8465,25,29,0,0,0
3000,36,13.44,101.72,1,2,60000,0,6.64,11,0,3650,9.5,14,1,0,0
15000,36,11.14,492.08,1,10,53000,0,7.54,8,1,13033,58.7,25,2,1,0
28500,60,19.99,754.92,0,8,65000,0,19.15,14,0,26939,83.1,29,1,0,0
6000,36,5.32,180.69,1,1,140000,0,14.85,20,0,23746,31.7,40,2,0,0
19000,36,12.69,637.36,1,10,38000,0,19.77,12,0,21183,29.3,32,3,0,0
15000,36,18.49,545.99,0,10,88000,0,11.24,14,0,17004,92.4,52,6,0,0
9000,36,12.69,301.91,1,10,49600,0,14.69,7,0,6202,96.9,19,2,0,0
6400,36,13.11,215.99,1,1,50000,0,14.22,14,0,10450,29.4,40,0,0,0
15000,36,12.88,504.55,1,1,38000,0,19.26,13,0,10979,48.6,16,0,0,0
3200,36,6.62,98.26,1,0.5,65000,0,14.22,20,0,2177,3.8,36,1,0,0
7500,36,20.31,279.92,0,4,26000,0,9.32,5,0,6194,61.3,5,0,0,0
15000,36,20.2,558.99,0,0.5,80000,0,20.9,9,0,20676,88,16,0,0,0
8000,36,15.31,278.54,1,6,60000,0,5.09,8,0,8358,57.2,24,1,0,0
8000,36,17.77,288.3,0,6,60000,0,12.55,16,0,6253,45.3,30,0,0,0
21000,36,13.99,717.63,1,9,130000,0,13.15,7,0,2686,11.1,30,5,0,0
15000,36,6.62,460.56,1,10,130000,0,10.11,17,0,24663,24.6,42,3,0,0
8000,36,14.09,273.78,1,2,42000,0,11.31,7,0,8599,76.1,18,0,0,0
12000,36,8.39,378.2,1,0.5,71000,0,18.8,13,0,19567,41.8,29,1,0,0
3600,36,19.05,132.06,0,10,74000,0,23.06,12,0,43418,77.8,24,6,0,0
5000,36,12.12,166.36,1,2,39000,0,12.34,9,0,4235,25.2,16,0,0,0
16000,36,5.93,486.25,1,10,142000,0,7.27,11,0,21335,41.1,32,8,0,0
12000,36,11.53,395.89,1,10,60000,0,32.86,16,0,17125,39.1,21,0,0,0
8000,36,16.29,282.41,0,7,65000,0,20.77,17,0,17928,56.4,26,2,0,0
8000,36,15.61,279.72,1,9,45000,0,24.85,13,0,5619,75.9,14,0,0,0
17000,36,12.99,572.72,1,6,140000,0,11.22,12,0,21052,64.2,34,6,0,0
13500,36,12.49,451.56,1,0.5,65000,0,7.22,7,0,9682,58.3,9,0,0,0
7950,36,12.69,266.69,1,0.5,85000,0,23.87,6,1,1487,51,24,4,1,0
6000,36,10.15,194.03,1,10,140000,0,15.61,16,0,54593,88.2,25,3,0,0
3500,36,10.99,114.57,1,2,93584,0,1.47,6,0,3540,17.6,14,0,0,0
10750,36,12.99,362.16,1,3,33000,0,12.33,8,0,10932,44.8,27,0,0,0
8400,36,8.39,264.74,1,6,50000,0,16.11,7,0,4099,24.7,20,1,0,0
12000,36,14.65,413.94,1,7,66000,0,16.55,11,0,11260,91.5,12,0,0,0
10000,36,6.99,308.73,1,0.5,60000,0,22.18,9,0,27252,58.9,12,0,0,0
4000,36,13.67,136.08,1,7,13500,0,21.96,8,0,6155,65.5,14,0,0,0
14400,36,7.9,450.58,1,10,69873,0,16.15,11,0,3328,17.8,27,6,0,0
8000,36,15.61,279.72,1,10,75000,0,5.25,4,0,8023,54.2,14,1,0,0
3750,36,6.62,115.14,1,5,86864.28,0,7.56,12,0,5685,20.5,25,4,0,0
5000,36,8.67,158.24,1,0.5,40000,0,16.11,11,0,8904,50.3,36,0,0,0
13325,36,11.99,442.52,1,3,120000,0,11.72,13,0,13336,46.3,19,1,0,0
5450,36,12.39,182.04,1,10,55000,0,28.8,10,0,22310,60.3,18,2,0,0
8400,36,7.69,262.03,1,10,285000,0,14.47,11,0,283551,93.7,23,1,0,0
10800,60,12.99,245.68,1,0.5,34000,0,9.99,12,0,1145,7.1,18,0,0,0
5000,36,14.65,172.48,1,10,38000,0,13.2,17,2,3235,29.1,26,4,0,0
8000,36,8.39,252.14,1,2,45000,0,18.64,11,0,3492,13,21,0,0,0
2500,36,18.24,90.69,0,8,69000,0,29.65,22,0,16957,45.1,50,0,0,0
6425,36,18.25,233.09,0,10,45000,0,17.97,11,0,4984,59.3,19,0,0,0
9000,36,10.49,292.48,1,0.5,60000,0,6.62,4,0,8969,71.8,11,0,0,0
9600,36,14.3,329.51,1,3,55000,0,24.77,7,0,8652,68.1,12,0,0,0
7000,36,9.99,225.84,1,10,70343.56,0,19.52,10,0,11022,35,37,0,0,0
15000,36,11.14,492.08,1,4,60000,0,28.65,7,0,9094,35,19,0,0,0
29225,60,12.69,660.33,1,10,65000,0,19,23,0,27113,38.6,57,6,0,0
10000,36,10.99,327.34,1,6,50000,0,31.57,12,0,18527,87,29,2,0,0
10000,36,12.69,335.45,1,10,50000,0,16.99,20,0,7533,30.3,38,6,0,0
12000,60,19.19,312.55,0,8,45000,0,25.49,12,0,15453,79.2,25,1,0,0
3000,36,12.49,100.35,1,1,36000,0,15.27,8,2,4110,61.3,20,0,0,0
7000,36,15.1,243.01,1,1,35000,0,9.53,5,0,9268,82,13,0,0,0
5250,36,12.12,174.68,1,10,101000,0,6.85,8,0,11367,74.3,9,0,0,0
9600,36,6.49,294.19,1,10,65000,0,26.38,40,0,47905,41.9,64,0,0,0
8000,36,7.69,249.55,1,2,35000,0,8.79,11,0,16751,44.7,21,0,0,0
20000,36,6.97,617.27,1,10,86000,0,8.14,3,0,5923,56.4,13,0,0,0
16000,36,14.09,547.55,1,10,115000,0,5.9,6,0,18287,92.4,14,0,0,0
5500,36,7.9,172.1,1,4,48440,0,22.17,7,0,8289,47.6,25,0,0,0
3000,36,10.15,97.02,1,2,53000,0,18.34,8,0,14468,82.2,21,2,0,0
8000,36,9.67,256.9,1,2,120000,0,15.71,27,0,16527,81.4,49,1,0,0
19200,36,10.16,620.98,1,10,52000,0,20.15,15,0,24815,68.4,25,2,0,0
15000,36,10.75,489.31,1,10,94723,0,18.56,19,0,32458,76.5,36,3,0,0
8000,36,14.33,274.71,1,10,85000,0,20.53,7,0,4363,69.3,18,0,0,0
1450,36,13.99,49.56,1,9,65000,0,22.43,10,0,1950,97.5,31,2,0,0
11700,36,12.12,389.28,1,5,35000,0,13.61,21,0,5744,15.5,58,0,0,0
11500,36,14.65,396.69,1,10,99000,0,13.48,11,1,10407,73,24,3,1,0
18000,36,9.99,580.73,1,0.5,65000,0,10.67,14,0,16348,97.3,18,0,0,0
12000,36,8.99,381.55,1,2,48000,0,7.73,13,0,11844,44.9,40,4,0,0
17225,36,18.25,624.89,0,10,48000,0,12.95,6,0,5302,60.2,23,6,0,0
2500,36,12.49,83.63,1,4,75000,0,4.22,6,0,17432,67.3,26,3,0,0
20000,60,18.25,510.6,0,10,99000,0,14.82,8,0,29397,78.6,14,1,0,0
